epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,6268.18,0.99348,0.0574,0.00269,0.98979,0.99059,0.99432,0.84878,0.91273,0.04417,0.00877,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,6373.2,0.97572,0.05701,0.0027,0.9915,0.98928,0.99449,0.84662,0.92028,0.04528,0.00888,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,6480.6,0.97128,0.0557,0.00259,0.99129,0.98847,0.99441,0.84196,0.92803,0.04609,0.00883,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,6584.83,0.98229,0.05835,0.00289,0.96607,0.96121,0.96666,0.81817,0.92558,0.04433,0.00889,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,6690.11,0.96406,0.05721,0.00281,0.98899,0.98789,0.99431,0.84519,0.90846,0.04385,0.00874,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,6797.28,0.97963,0.05627,0.00261,0.99167,0.9893,0.99425,0.84566,0.90816,0.04597,0.00876,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,6903.15,0.97552,0.0557,0.00264,0.99161,0.98984,0.99424,0.84939,0.9044,0.04479,0.00867,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,7008.63,0.96802,0.05684,0.00274,0.99155,0.98972,0.99438,0.84757,0.90604,0.04528,0.00867,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,7113.51,0.96276,0.05622,0.00263,0.99215,0.98942,0.99434,0.85187,0.89818,0.04432,0.00874,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,7219.94,0.93764,0.05437,0.0026,0.99167,0.99008,0.99433,0.8536,0.89636,0.04473,0.00874,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,7325.57,0.96062,0.05386,0.0025,0.99187,0.98912,0.99415,0.85524,0.90268,0.04589,0.00878,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,7431.03,0.95768,0.05503,0.00253,0.99173,0.9902,0.99453,0.84524,0.92074,0.04373,0.00884,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
